"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"69","ANCHORAGE ","AK ",0,0,"2020",761736,0,0
"70","DENALI ","AK ",0,0,"2068",0,0,NA
"71","FAIRBANKS NORTH STAR ","AK ",0,0,"2090",76453,0,0
"72","JUNEAU ","AK ",4,3,"2110",45895,317,0.690707048698115
"73","KENAI PENINSULA ","AK ",0,0,"2122",0,0,NA
"74","KETCHIKAN GATEWAY ","AK ",0,0,"2130",1537,0,0
"75","KODIAK ISLAND ","AK ",0,0,"2150",918,0,0
"76","MATANUSKA SUSITNA ","AK ",0,0,"2170",103207,0,0
"77","PRINCE WALES KETCHIK ","AK ",0,0,"2201",0,0,NA
"78","SITKA BOROUGH ","AK ",0,0,"2220",1922,0,0
"79","VALDEZ CORDOVA ","AK ",0,0,"2261",0,0,NA
"80","WRANGELL PETERSBURG ","AK ",0,0,"2280",784,0,0
"81","YUKON KOYUKUK ","AK ",0,0,"2290",972,0,0
"1","AUTAUGA ","AL ",4,2,"1000",68830,529,0.768560220833939
"2","BALDWIN ","AL ",7,3,"1010",1099095,2857,0.259941133387014
"3","BARBOUR ","AL ",2,2,"1020",29720,265,0.891655450874832
"4","BIBB ","AL ",5,4,"1030",513059,775,0.151054751987588
"5","BLOUNT ","AL ",8,6,"1040",410175,5365,1.30797830194429
"6","BULLOCK ","AL ",1,1,"1050",13160,32,0.243161094224924
"7","BUTLER ","AL ",20,9,"1060",2126280,17877,0.840764151475817
"8","CALHOUN ","AL ",5,3,"1070",738117,959,0.129925201560186
"9","CHAMBERS ","AL ",4,3,"1080",80730,157,0.194475411866716
"10","CHEROKEE ","AL ",12,9,"1090",701595,2108,0.300458241578118
"11","CHILTON ","AL ",4,2,"1100",56583,1447,2.55730519767421
"12","CHOCTAW ","AL ",0,0,"1110",34524,0,0
"13","CLARKE ","AL ",2,2,"1120",255134,414,0.162267671106164
"14","CLAY ","AL ",23,14,"1130",1626919,3205,0.196998129593422
"15","CLEBURNE ","AL ",1,1,"1140",46344,73,0.157517693768341
"16","COFFEE ","AL ",3,1,"1150",198160,457,0.230621719822366
"17","COLBERT ","AL ",0,0,"1160",34125,0,0
"18","CONECUH ","AL ",1,1,"1170",11460,272,2.37347294938918
"19","COOSA ","AL ",1,1,"1180",9568,134,1.4005016722408
"20","COVINGTON ","AL ",0,0,"1190",86005,0,0
"21","CRENSHAW ","AL ",1,1,"1200",11984,17,0.141855807743658
"22","CULLMAN ","AL ",2,1,"1210",163350,640,0.391796755433119
"23","DALE ","AL ",0,0,"1220",75418,0,0
"24","DALLAS ","AL ",18,6,"1230",15036664,28625,0.190368023120022
"25","DE KALB ","AL ",4,1,"1240",188956,163,0.0862634687440462
"26","ELMORE ","AL ",7,6,"1250",178414,1025,0.574506484917103
"27","ESCAMBIA ","AL ",5,2,"1260",2351358,3159,0.134347895981811
"28","ETOWAH ","AL ",3,1,"1270",271245,133,0.0490331619016019
"29","FAYETTE ","AL ",27,17,"1280",1867272,13992,0.749328432065602
"30","FRANKLIN ","AL ",41,18,"1290",9805810,26610,0.271369728762846
"31","GENEVA ","AL ",0,0,"1300",39704,0,0
"32","GREENE ","AL ",32,19,"1310",1991562,15209,0.763671931880604
"33","HALE ","AL ",0,0,"1320",42646,0,0
"34","HENRY ","AL ",19,10,"1330",879846,2542,0.288914196347997
